id_no,title,organization,skills,ratings,review_counts,metadata
1,Introduction to Hardware and Operating Systems,IBM,"computer architecture,computer hardware,disaster recovery,hardware troubleshooting,linux,mac o,microsoft window,networking hardware,operating system,peripheral device,system configuration,technical support,user account",0,0,Beginner ? Course ? 1 - 3 Months
2,FPGA Design for Embedded Systems,University of Colorado Boulder,"application specific integrated circuit,computational logic,computer architecture,design patterns,eclipse software,electrical computer engineering,electronic system,embedded software,embedded system,fieldprogrammable gate array fpga,hardware architecture,hardware design,integrated development environment,program development,schematic diagram,semiconductor,software development,system design implementation,technical design,verification validation",0,0,Intermediate ? Specialization ? 3 - 6 Months
3,Embedded Software and Hardware Architecture,University of Colorado Boulder,"c programming language,computer architecture,data structure,debugging,design patterns,embedded software,embedded system,hardware architecture,integrated development environment,maintainability,microarchitecture,peripheral device,system configuration,system programming",0,0,Intermediate ? Course ? 1 - 4 Weeks
4,Computer Architecture,Princeton University,"computer architecture,computer engineering,computer system,distributed computing,hardware architecture,microarchitecture,operating system,performance tuning,scalability",0,0,Advanced ? Course ? 3 - 6 Months
5,Introduction to Contemporary Operating Systems and Hardware 1a,Illinois Tech,"computer architecture,computer hardware,data storage technology,hardware architecture,microarchitecture,networking hardware,peripheral device,system configuration",0,0,Beginner ? Course ? 1 - 4 Weeks
6,Systems Engineering,MathWorks,"functional design,functional requirement,model based system engineering,requirement analysis,requirement elicitation,system architecture,system design,system engineering,system requirement,verification validation",0,0,Beginner ? Course ? 1 - 4 Weeks
7,Hardware Description Languages for FPGA Design,University of Colorado Boulder,"computational logic,debugging,design patterns,development testing,embedded system,functional testing,hardware architecture,programming principle,simulation,system design implementation,technical design,test case,verification validation",0,0,Intermediate ? Course ? 1 - 4 Weeks
8,Fundamental Skills in Engineering Design,University of Leeds,"communication,conceptual design,engineering design process,engineering management,engineering practice,new product development,problem solving,product design,product development,product lifecycle management,product requirement,requirement elicitation,safety assurance",0,0,Beginner ? Course ? 1 - 4 Weeks
9,Prompt Engineering for ChatGPT,Vanderbilt University,"application development,artificial intelligence,brainstorming,chatgpt,collaboration,creative thinking,generative ai,ingenuity,large language modeling,problem solving,productivity,prompt engineering",0,0,Beginner ? Course ? 1 - 3 Months
10,Introduction to Software Engineering,IBM,"agile methodology,application development,backend web development,cloud development,computer programming,design patterns,frontend web development,integrated development environment,programming principle,python,scrum software development,sdlc,software architecture,software design pattern,software development,software engineering,web development",0,0,Beginner ? Course ? 1 - 3 Months
11,Hardware Security,"University of Maryland, College Park","application specific integrated circuit,authentication,computational logic,computer hardware,cryptography,cybersecurity,emerging technology,encryption,hardware architecture,hardware design,security engineering,system design implementation,threat detection,threat modeling",0,0,Mixed ? Course ? 1 - 3 Months
12,IBM Generative AI Engineering,IBM,"applied machine learning,chatgpt,data analysis,data wrangling,deep learning,exploratory data analysis,flask web framework,generative ai,generative ai agent,jupyter,kera neural network library,large language modeling,predictive modeling,prompt engineering,pytorch machine learning library,regression analysis,scikit learn machine learning library,supervised learning,unit testing,unsupervised learning",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
13,IBM AI Developer,IBM,"bootstrap frontend framework,cascading style sheet cs,chatgpt,data science,design patterns,engineering software,flask web framework,generative ai,jupyter,large language modeling,machine learning,prompt engineering,python,responsive web design,scrum software development,sdlc,software architecture,software design pattern,software engineering,unit testing",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
14,Generative AI: Prompt Engineering Basics,IBM,"chatgpt,ibm cloud,large language modeling,prompt engineering",0,0,Beginner ? Course ? 1 - 4 Weeks
15,IBM DevOps and Software Engineering,IBM,"agile software development,application deployment,application development,cicd,cloud computing architecture,devops,flask web framework,gherkin scripting language,git version control system,grafana,istio,jenkins,jupyter,linux command,open web application security project owasp,sdlc,software architecture,software engineering,test driven development tdd",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
16,Construction Management,Columbia University,"bidding,building information modeling,business transformation,construction,construction estimating,construction management,cost control,cost estimation,environment health safety,finance,innovation,lean methodology,project closure,project finance,project risk management,project schedule,punch work,real estate,scheduling,timeline",0,0,Beginner ? Specialization ? 3 - 6 Months
17,IBM AI Engineering,IBM,"applied machine learning,data manipulation,data science,deep learning,generative ai,generative ai agent,image analysis,kera neural network library,large language modeling,machine learning,nlp,prompt engineering,python,pytorch machine learning library,regression analysis,reinforcement learning,scikit learn machine learning library,supervised learning,tensorflow,unsupervised learning",0,0,Intermediate ? Professional Certificate ? 3 - 6 Months
18,Computer Hardware and Software,"University of California, Irvine","computer hardware,computer networking,computer system,data storage,file system,general networking,hardware architecture,information technology,network protocol,network security,operating system,software system,system software",0,0,Beginner ? Course ? 1 - 4 Weeks
19,Google Prompting Essentials,Google,"ai personalization,artificial intelligence,business correspondence,chatgpt,complex problem solving,critical thinking,data analysis,data presentation,data visualization,document management,generative ai,generative ai agent,graphing,ideation,machine learning,prompt engineering,report writing,solution design,taking meeting minute,timeline",0,0,Beginner ? Specialization ? 1 - 4 Weeks
20,Power Electronics,University of Colorado Boulder,"basic electrical system,control system,electric power system,electrical engineering,electrical power,electrical system,electronic component,electronic system,electronics,engineering analysis,engineering design process,mathematical modeling,plot graphic,power electronics,semiconductor,simulation simulation software,system analysis,system design,technical design,usb",0,0,Intermediate ? Specialization ? 3 - 6 Months
21,Introduction to Data Engineering,IBM,"apache hadoop,apache spark,big data,data architecture,data governance,data lake,data pipeline,data science,data security,data store,data warehouse,database,extract,load,nosql,relational database,sql,transform",0,0,Beginner ? Course ? 1 - 4 Weeks
22,IBM Data Engineering,IBM,"apache airflow,apache hadoop,apache spark,data analysis,data science,data store,data warehouse,database administration,database design,extract,generative ai,ibm cognos analytics,jupyter,linux command,load,nosql,professional networking,python,sql,transform,web scraping",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
23,Embedding Sensors and Motors,University of Colorado Boulder,"automation engineering,basic electrical system,control system,electrical computer engineering,electrical engineering,electrical system,electronic component,electronic hardware,electronic system,electronics,embedded software,embedded system,engineering,hardware design,machine control,manufacturing process,power electronics,process control,scientific,statistical process control,technical instrument,threephase",0,0,Intermediate ? Specialization ? 3 - 6 Months
24,Data Engineering Foundations,IBM,"big data,data architecture,data governance,data pipeline,data store,data structure,data transformation,data warehouse,database,database design,database management system,extract,ibm db2,jupyter,load,python,relational database,sql,stored procedure,transform,web scraping",0,0,Beginner ? Specialization ? 3 - 6 Months
25,Introduction to Engineering Mechanics,Georgia Institute of Technology,"civil engineering,engineering,engineering analysis,engineering calculation,mechanic,mechanical engineering,structural analysis,torque physic,trigonometry",0,0,Mixed ? Course ? 1 - 3 Months
26,Java Programming and Software Engineering Fundamentals,Duke University,"ai personalization,algorithm,cascading style sheet cs,computer programming,cryptography,data analysis,data structure,debugging,design patterns,encryption,html cs,hypertext markup language html,java,javascript,object oriented programming oop,programming principle,software design pattern,software engineering,web development",0,0,Beginner ? Specialization ? 3 - 6 Months
27,Generative AI Engineering with LLMs,IBM,"applied machine learning,artificial intelligence,artificial intelligence machine learning aiml,artificial neural network,chatgpt,data ethic,data pipeline,deep learning,feature engineering,generative ai,generative ai agent,large language modeling,nlp,openai,performance tuning,prompt engineering,pytorch machine learning library,reinforcement learning,semantic web,text mining",0,0,Intermediate ? Specialization ? 3 - 6 Months
28,Machine Learning,Multiple educators,"applied machine learning,artificial intelligence,artificial intelligence machine learning aiml,classification regression tree cart,data ethic,decision tree learning,deep learning,feature engineering,jupyter,machine learning,machine learning algorithm,machine learning method,numpy,predictive modeling,random forest algorithm,reinforcement learning,scikit learn machine learning library,supervised learning,tensorflow,unsupervised learning",0,0,Beginner ? Specialization ? 1 - 3 Months
29,Mathematics for Engineers,The Hong Kong University of Science and Technology,"advanced mathematics,algebra,applied mathematics,calculus,computational thinking,differential equation,engineering,engineering analysis,engineering calculation,estimation,finite element method,geometry,integral calculus,linear algebra,mathematical modeling,mathematical software,matlab,mechanical engineering,numerical analysis,simulation simulation software",0,0,Beginner ? Specialization ? 3 - 6 Months
