id_no,title,organization,skills,ratings,review_counts,metadata
1,Meta Front-End Developer,IBM," Cascading Style Sheets (CSS), Bootstrap (Front-End Framework), Responsive Web Design, Web Development, Javascript, Scripting, Browser Compatibility, Application Programming Interface (API)",0,0,Beginner ? Course ? 1 - 4 Weeks
2,Introduction to Front-End Development,Meta," Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Responsive Web Design, Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools, Javascript, Cascading Style Sheets (CSS)",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
3,Meta Full-Stack Developer,Meta," HTML and CSS, Bootstrap (Front-End Framework), Responsive Web Design, Front-End Web Development, User Interface (UI), JavaScript Frameworks, Web Design and Development, Web Applications, Web Development Tools, React.js, Javascript",0,0,Beginner ? Course ? 1 - 4 Weeks
4,Web Design for Everybody: Basics of Web Development & Coding,University of Michigan," Wireframing, Responsive Web Design, HTML and CSS, Web Content Accessibility Guidelines, Cascading Style Sheets (CSS), Web Design, Hypertext Markup Language (HTML), Browser Compatibility, Bootstrap (Front-End Framework), Javascript, Front-End Web Development, User Interface (UI), Verification And Validation, Web Development, Web Design and Development, Interactive Design, Application Frameworks, Usability, Code Review, Event-Driven Programming",0,0,Beginner ? Specialization ? 3 - 6 Months
5,"Introduction to HTML, CSS, & JavaScript","University of California, Davis"," Version Control, Hypertext Markup Language (HTML), GitHub, Git (Version Control System), HTML and CSS, Cascading Style Sheets (CSS), Web Design and Development, Web Development, Web Design, Web Content, Front-End Web Development, Web Servers, Image Analysis, Semantic Web, Cloud Hosting, Browser Compatibility",0,0,Beginner ? Course ? 1 - 4 Weeks
6,Introduction to Web Development,IBM," Prompt Engineering, Istio, Node.JS, Software Development Life Cycle, Software Architecture, Cloud Computing Architecture, Server Side, Application Deployment, React Redux, Kubernetes, Cloud Services, Restful API, Django (Web Framework), Object-Relational Mapping, Git (Version Control System), Full-Stack Web Development, Cascading Style Sheets (CSS), Cloud Computing, Jupyter, Software Development",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
7,Introduction to Web Development,Microsoft," Responsive Web Design, Cascading Style Sheets (CSS), HTML and CSS, Web Applications, Front-End Web Development, Semantic Web, Javascript, Web Content Accessibility Guidelines, Data Storage Technologies, Application Security, User Interface (UI), Data Validation",0,0,Beginner ? Course ? 1 - 3 Months
8,Full Stack Web Development,IBM," Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",0,0,Beginner ? Course ? 1 - 3 Months
9,Fundamentals of Web Development,Microsoft," GitHub, HTML and CSS, Git (Version Control System), Microsoft Copilot, Web Development, Web Content Accessibility Guidelines, Responsive Web Design, Javascript, Front-End Web Development, JSON, Semantic Web",0,0,Beginner ? Course ? 1 - 3 Months
10,"Python for Data Science, AI & Development",Amazon," Full-Stack Web Development, Restful API, Front-End Web Development, Web Services, Application Deployment, Web Development, Spring Framework, Amazon Web Services, HTML and CSS, Application Programming Interface (API), Server Side, Web Applications, Back-End Web Development, Spring Boot, Model View Controller, Responsive Web Design, Javascript",0,0,Beginner ? Course ? 1 - 4 Weeks
